"","time","close","Rd"
"4722",2017-01-10,926,-2.87406690080223
"4727",2017-01-17,922,-0.43290110895855
"4732",2017-01-24,886,-3.98282729515129
"4737",2017-01-31,800,-10.2105222937154
"4742",2017-02-07,714,-11.3728765328343
"4747",2017-02-14,685,-4.14641240773586
"4752",2017-02-21,778,12.7307685916166
"4757",2017-02-28,859,9.90423978058637
"4762",2017-03-07,1033,18.4453547135384
"4767",2017-03-14,1112,7.36930056908891
"4772",2017-03-21,1200,7.6161360965564
"4777",2017-03-28,1333,10.5110484402617
"4782",2017-04-04,1255,-6.02964686128251
"4787",2017-04-11,1262,0.556219153527415
"4790",2017-04-18,1294,2.50404319596873
"4795",2017-04-25,1154,-11.45040279928
"4799",2017-05-02,1073,-7.27757044373467
"4804",2017-05-09,1007,-6.34828499121358
"4809",2017-05-16,980,-2.71783210539454
"4814",2017-05-23,949,-3.21437730546892
"4818",2017-05-30,900,-5.30140352856172
"4823",2017-06-06,818,-9.55324267215643
"4828",2017-06-13,870,6.16308750458829
"4833",2017-06-20,847,-2.67925169965748
"4838",2017-06-27,903,6.40218587649306
"4843",2017-07-04,871,-3.60805765644825
"4848",2017-07-11,830,-4.82162760618596
"4853",2017-07-18,932,11.5907113894948
"4858",2017-07-25,980,5.02197569790264
"4863",2017-08-01,965,-1.54244703256312
