time,open,high,low,close
2011-06-27T00:00:00Z,1442,1442,1442,1442
2011-06-28T00:00:00Z,1438,1438,1438,1438
2011-06-29T00:00:00Z,1420,1420,1420,1420
2011-06-30T00:00:00Z,1413,1413,1413,1413
2011-07-01T00:00:00Z,1422,1422,1422,1422
2011-07-04T00:00:00Z,1419,1419,1419,1419
2011-07-05T00:00:00Z,1428,1428,1428,1428
2011-07-06T00:00:00Z,1443,1443,1443,1443
2011-07-07T00:00:00Z,1453,1453,1453,1453
2011-07-08T00:00:00Z,1449,1449,1449,1449
2011-07-11T00:00:00Z,1437,1437,1437,1437
2011-07-12T00:00:00Z,1411,1411,1411,1411
2011-07-13T00:00:00Z,1383,1383,1383,1383
2011-07-14T00:00:00Z,1367,1367,1367,1367
2011-07-15T00:00:00Z,1353,1353,1353,1353
2011-07-18T00:00:00Z,1340,1340,1340,1340
2011-07-19T00:00:00Z,1330,1330,1330,1330
2011-07-20T00:00:00Z,1328,1328,1328,1328
2011-07-21T00:00:00Z,1325,1325,1325,1325
2011-07-22T00:00:00Z,1323,1323,1323,1323
2011-07-25T00:00:00Z,1317,1317,1317,1317
2011-07-26T00:00:00Z,1310,1310,1310,1310
2011-07-27T00:00:00Z,1296,1296,1296,1296
2011-07-28T00:00:00Z,1278,1278,1278,1278
2011-07-29T00:00:00Z,1264,1264,1264,1264
2011-08-01T00:00:00Z,1256,1256,1256,1256
2011-08-02T00:00:00Z,1253,1253,1253,1253
2011-08-03T00:00:00Z,1260,1260,1260,1260
2011-08-04T00:00:00Z,1268,1268,1268,1268
2011-08-05T00:00:00Z,1268,1268,1268,1268
2011-08-08T00:00:00Z,1264,1264,1264,1264
2011-08-09T00:00:00Z,1257,1257,1257,1257
2011-08-10T00:00:00Z,1265,1265,1265,1265
2011-08-11T00:00:00Z,1277,1277,1277,1277
2011-08-12T00:00:00Z,1287,1287,1287,1287
2011-08-15T00:00:00Z,1306,1306,1306,1306
2011-08-16T00:00:00Z,1344,1344,1344,1344
2011-08-17T00:00:00Z,1371,1371,1371,1371
2011-08-18T00:00:00Z,1414,1414,1414,1414
2011-08-19T00:00:00Z,1462,1462,1462,1462
2011-08-22T00:00:00Z,1515,1515,1515,1515
2011-08-23T00:00:00Z,1565,1565,1565,1565
2011-08-24T00:00:00Z,1602,1602,1602,1602
2011-08-25T00:00:00Z,1582,1582,1582,1582
2011-08-26T00:00:00Z,1541,1541,1541,1541
2011-08-30T00:00:00Z,1537,1537,1537,1537
2011-08-31T00:00:00Z,1619,1619,1619,1619
2011-09-01T00:00:00Z,1682,1682,1682,1682
2011-09-02T00:00:00Z,1740,1740,1740,1740
2011-09-05T00:00:00Z,1750,1750,1750,1750
2011-09-06T00:00:00Z,1767,1767,1767,1767
2011-09-07T00:00:00Z,1744,1744,1744,1744
2011-09-08T00:00:00Z,1782,1782,1782,1782
